id,question_text,answer,skill,difficulty,question_type,choices
803,Which is smallest: 2π √20 6.5 or 13/2?,√20,Ordering Real Numbers,hard,multiple_choice,√20|2π|6.5|13/2
804,Arrange from least to greatest: √12 3.5 7/2,√12 7/2 3.5,Ordering Real Numbers,hard,algebra,
805,Order from smallest to largest: 789 798 879 987,789 798 879 987,Ordering Whole Numbers,easy,fill_in_one,
806,Which is largest: 4052 4025 4502 or 4250?,4502,Ordering Whole Numbers,medium,multiple_choice,4502|4250|4052|4025
807,Arrange in descending order: 9876 9867 9786 9768,9876 9867 9786 9768,Ordering Whole Numbers,hard,algebra,
808,Parallel lines never ___,intersect,Parallel and Perpendicular Lines,medium,fill_in_one,
809,If two lines have slopes 3/4 and -4/3 they are ___,perpendicular,Parallel and Perpendicular Lines,hard,multiple_choice,perpendicular|parallel|the same line|neither
810,Line A has equation y = 2x + 1. Write an equation for a line parallel to A,y = 2x + c (where c ≠ 1),Parallel and Perpendicular Lines,hard,algebra,
811,Two parallel lines have slopes that are ___,equal,Parallel and Perpendicular Slopes,medium,fill_in_one,
812,If a line has slope -2/5 what slope does a perpendicular line have?,5/2,Parallel and Perpendicular Slopes,hard,multiple_choice,5/2|-5/2|2/5|-2/5
813,Find the slope of a line perpendicular to y = 3x - 7,-1/3,Parallel and Perpendicular Slopes,hard,algebra,
814,In the polynomial 2x³ - 5x² + 3x - 8 the leading coefficient is ___,2,Parts of a Polyomial,easy,fill_in_one,
815,How many terms are in 4x⁴ - 2x² + x - 7?,4,Parts of a Polyomial,medium,multiple_choice,4|3|5|2
816,What is the constant term in x³ + 2x² - 5x + 9?,9,Parts of a Polyomial,hard,algebra,
817,Find the next number: 5 8 11 14 ___,17,Pattern Finding,easy,fill_in_one,
818,What comes next in: 64 32 16 8 ___?,4,Pattern Finding,medium,multiple_choice,4|2|0|-8
819,The pattern 3 7 15 31 follows rule 2n + 1. Find the 6th term,127,Pattern Finding,hard,algebra,
820,A $200 item has 30% off. What is the sale price?,$140,Percent Discount,easy,fill_in_one,
821,After a 15% discount a $60 shirt costs ___,$51,Percent Discount,medium,multiple_choice,$51|$45|$9|$75
822,An item costs $80 after a 20% discount. What was the original price?,$100,Percent Discount,hard,algebra,
823,A value increases from 40 to 50. What is the percent increase?,25%,Percent Increase or Decrease,medium,fill_in_one,
824,If enrollment drops from 500 to 400 what is the percent decrease?,20%,Percent Increase or Decrease,hard,multiple_choice,20%|25%|100%|80%
825,A stock rises 25% then falls 20%. What is the net change?,0% (no net change),Percent Increase or Decrease,hard,algebra,
826,Find 75% of 120,90,Percent Of,easy,fill_in_one,
827,What is 18% of 250?,45,Percent Of,medium,multiple_choice,45|18|232|4500
828,If 24% of x is 72 find x,300,Percent Of,hard,algebra,
829,Convert 7/10 to a percent,70%,Percents,easy,fill_in_one,
830,What is 0.85 as a percent?,85%,Percents,medium,multiple_choice,85%|8.5%|0.85%|850%
831,Express 2.4 as a percent,240%,Percents,hard,algebra,
832,A triangle has sides 5 6 7. Find its perimeter,18,Perimeter of a Polygon,easy,fill_in_one,
833,What is the perimeter of a regular hexagon with side 4?,24,Perimeter of a Polygon,medium,multiple_choice,24|16|20|28
834,A rectangle has perimeter 28 and width 5. Find its length,9,Perimeter of a Polygon,hard,algebra,
835,Which inequality means "at most 10"?,x ≤ 10,Picking Equation and Inequality from Choices,medium,fill_in_one,
836,Choose the correct inequality: A number decreased by 3 is greater than 8,x - 3 > 8,Picking Equation and Inequality from Choices,hard,multiple_choice,x - 3 > 8|x - 3 < 8|3 - x > 8|x + 3 > 8
837,Select the inequality: Twice a number plus 5 is no more than 17,2x + 5 ≤ 17,Picking Equation and Inequality from Choices,hard,algebra,
838,In which quadrant is (-5 3)?,II,Point Plotting,easy,fill_in_one,
839,The point (4 -7) is in quadrant ___,IV,Point Plotting,medium,multiple_choice,IV|I|II|III
840,A point has positive x-coordinate and negative y-coordinate. It's in quadrant ___,IV,Point Plotting,hard,algebra,
841,Factor out the GCF: 15x² + 10x,5x(3x + 2),Polynomial Factors,medium,fill_in_one,
842,What is the GCF of 18a²b³ and 12ab²?,6ab²,Polynomial Factors,hard,multiple_choice,6ab²|18ab|12a²b²|2ab
843,Factor completely: 2x³ - 8x² + 6x,2x(x - 1)(x - 3),Polynomial Factors,hard,algebra,
844,Which number is NOT prime?,15,Prime Number,easy,fill_in_one,
845,How many prime numbers are between 10 and 20?,4,Prime Number,medium,multiple_choice,4|3|5|6
846,What is the largest prime factor of 30?,5,Prime Number,hard,algebra,
847,A fair die shows P(6) = ___,1/6,Probability of a Single Event,easy,fill_in_one,
848,A box has 5 red 3 blue 2 green balls. What is P(blue)?,3/10,Probability of a Single Event,medium,multiple_choice,3/10|3/8|1/3|7/10
849,From a deck of 52 cards find P(ace),4/52 or 1/13,Probability of a Single Event,hard,algebra,
850,Two dice are rolled. Find P(sum = 7),6/36 or 1/6,Probability of Two Distinct Events,medium,fill_in_one,
851,What is P(two heads) when flipping 3 coins?,3/8,Probability of Two Distinct Events,hard,multiple_choice,3/8|1/4|1/8|1/2
852,A bag has 6 red and 4 blue marbles. Two are drawn without replacement. Find P(first red second blue),4/15,Probability of Two Distinct Events,hard,algebra,
853,A parallelogram with four equal sides is a ___,rhombus,Properties and Classification Quadrilaterals,easy,fill_in_one,
854,Which quadrilateral has opposite sides parallel but not necessarily equal?,Parallelogram,Properties and Classification Quadrilaterals,medium,multiple_choice,Parallelogram|Rectangle|Square|Rhombus
855,Name a quadrilateral that is both a rectangle and a rhombus,Square,Properties and Classification Quadrilaterals,hard,algebra,
856,How many vertices does a rectangular prism have?,8,Properties and Classification Rectangular Prisms,easy,fill_in_one,
857,A rectangular prism is also called a ___,rectangular box,Properties and Classification Rectangular Prisms,medium,multiple_choice,rectangular box|cube|pyramid|cylinder
858,What is the sum of faces edges and vertices of a rectangular prism?,26,Properties and Classification Rectangular Prisms,hard,algebra,
859,A scalene triangle has ___ equal sides,no,Properties and Classification Triangles,easy,fill_in_one,
860,What type of triangle has one 90° angle?,Right triangle,Properties and Classification Triangles,medium,multiple_choice,Right triangle|Acute triangle|Obtuse triangle|Equilateral triangle
861,Classify a triangle with sides 5 12 13,Right triangle,Properties and Classification Triangles,hard,algebra,
862,What number when added to any number gives that same number?,0,Properties of Numbers,easy,fill_in_one,
863,Which property states (a + b) + c = a + (b + c)?,Associative Property,Properties of Numbers,medium,multiple_choice,Associative Property|Commutative Property|Distributive Property|Identity Property
864,The multiplicative identity is ___,1,Properties of Numbers,hard,algebra,
865,Solve: 6/9 = 8/x,x = 12,Proportion,medium,fill_in_one,
866,If 7/12 = 21/y what is y?,y = 36,Proportion,hard,multiple_choice,y = 36|y = 4|y = 84|y = 9
867,Two similar triangles have sides in ratio 2:5. If the smaller has perimeter 14 what is the larger's perimeter?,35,Proportion,hard,algebra,
868,A right triangle has legs 6 and 8. Find the hypotenuse,10,Pythagorean Theorem,easy,fill_in_one,
869,What is the hypotenuse of a right triangle with legs 9 and 12?,15,Pythagorean Theorem,medium,multiple_choice,15|21|3|225
870,A 13-foot ladder leans against a wall reaching 12 feet high. How far is the base from the wall?,5 feet,Pythagorean Theorem,hard,algebra,
871,Solve x² - 16 = 0,x = ±4,Quadratic Equation Solving,easy,fill_in_one,
872,What are the solutions to x² + 6x + 9 = 0?,x = -3,Quadratic Equation Solving,medium,multiple_choice,x = -3|x = 3|x = ±3|x = -3 ± 6
873,Use the quadratic formula to solve x² - 4x + 3 = 0,x = 1 or x = 3,Quadratic Equation Solving,hard,algebra,
874,The range of 5 9 12 16 18 is ___,13,Range,easy,fill_in_one,
875,Find the range: 23 31 28 35 29 41,18,Range,medium,multiple_choice,18|41|23|187
876,Data has range 25 and maximum 62. What is the minimum?,37,Range,hard,algebra,
877,Speed is distance over ___,time,Rate,easy,fill_in_one,
878,A train travels 300 miles in 5 hours. What is its average speed?,60 mph,Rate,medium,multiple_choice,60 mph|1500 mph|295 mph|305 mph
879,Water drains at 8 gallons per 3 minutes. How long to drain 40 gallons?,15 minutes,Rate,hard,algebra,
880,This ruler shows the arrow pointing to ___,2.7,Reading a Ruler or Scale,easy,fill_in_one,
881,On a scale from 0 to 100 the needle points between 60 and 70 closer to 70. The reading is approximately ___,68,Reading a Ruler or Scale,medium,multiple_choice,68|65|60|70
882,A thermometer reads 98.6°F. Round to the nearest degree,99°F,Reading a Ruler or Scale,hard,algebra,
883,Which sequence shows a linear pattern: 2 5 8 11 or 1 2 4 8?,2 5 8 11,Recognize Linear Pattern,medium,fill_in_one,
884,The sequence 100 90 80 70 has common difference ___,-10,Recognize Linear Pattern,hard,multiple_choice,-10|10|20|-20
885,A linear sequence starts with 7 and has common difference 4. What is the 15th term?,63,Recognize Linear Pattern,hard,algebra,
886,Which expression equals 5(x - 3)?,5x - 15,Recognizing Equivalent Expressions,easy,fill_in_one,
887,What is equivalent to (x + 4)² - 16?,x² + 8x,Recognizing Equivalent Expressions,medium,multiple_choice,x² + 8x|x² + 16|x² - 16|x² + 8x + 16
888,Identify the equivalent: 2(3x - 1) + 4,6x + 2,Recognizing Equivalent Expressions,hard,algebra,
889,Point (2 5) reflected across the y-axis becomes ___,(-2 5),Reflection,medium,fill_in_one,
890,What is (6 -3) reflected across the x-axis?,(6 3),Reflection,hard,multiple_choice,(6 3)|(-6 -3)|(-6 3)|(6 -3)
891,Point P(4 1) reflected across the line y = -x becomes ___,(-1 -4),Reflection,hard,algebra,
892,Point (5 2) rotated 90° counterclockwise about the origin becomes ___,(-2 5),Rotations,medium,fill_in_one,
893,After rotating (3 -4) by 180° about the origin you get ___,(-3 4),Rotations,hard,multiple_choice,(-3 4)|(3 4)|(-3 -4)|(4 3)
894,Point (1 0) rotated 270° counterclockwise about the origin becomes ___,(0 -1),Rotations,hard,algebra,
895,Round 5.847 to the nearest hundredth,5.85,Rounding,easy,fill_in_one,
896,What is 2847 rounded to the nearest thousand?,3000,Rounding,medium,multiple_choice,3000|2000|2800|2850
897,Round 0.6666... to three decimal places,0.667,Rounding,hard,algebra,
898,To avoid bias a sample should be ___,random,Sampling Techniques,medium,fill_in_one,
899,Which sampling method divides population into groups then samples from each group?,Stratified sampling,Sampling Techniques,hard,multiple_choice,Stratified sampling|Simple random|Systematic|Convenience
900,Explain why asking only honor students about study habits might bias results,Honor students may have different study patterns than typical students,Sampling Techniques,hard,algebra,
901,In similar triangles with ratio 1:3 the scale factor from small to large is ___,1/3,Scale Factor,medium,fill_in_one,
902,Two similar polygons have corresponding sides 6 and 15. What is the scale factor?,2/5,Scale Factor,hard,multiple_choice,2/5|5/2|6/15|15/6
903,Similar figures have area ratio 49:64. Find the ratio of corresponding sides,7:8,Scale Factor,hard,algebra,
904,If points go down from left to right a scatter plot shows ___ correlation,negative,Scatter Plot,medium,fill_in_one,
905,What correlation best describes: as hours of TV increase test scores decrease?,Negative correlation,Scatter Plot,hard,multiple_choice,Negative correlation|Positive correlation|No correlation|Perfect correlation
906,A scatter plot shows no clear pattern. This indicates ___,no correlation,Scatter Plot,hard,algebra,
907,Write 0.0045 in scientific notation,4.5 × 10⁻³,Scientific Notation,medium,fill_in_one,
908,What is 7.2 × 10⁴ in standard form?,72000,Scientific Notation,hard,multiple_choice,72000|7200|720000|0.00072
909,Express 250000 in scientific notation,2.5 × 10⁵,Scientific Notation,hard,algebra,
910,Similar triangles have ___,same angles,Similar Figures,easy,fill_in_one,
911,If similar rectangles have sides in ratio 4:7 what is the ratio of their perimeters?,4:7,Similar Figures,medium,multiple_choice,4:7|7:4|16:49|8:14
912,Two similar circles have radii 3 and 5. What is the ratio of their areas?,9:25,Similar Figures,hard,algebra,
913,Simplify: a⁸ ÷ a³,a⁵,Simplifying Expressions positive exponents,medium,fill_in_one,
914,What is (3²)³ ÷ 3⁴?,9,Simplifying Expressions positive exponents,hard,multiple_choice,9|3|27|1
915,Simplify: (4x³y²)² ÷ (2xy)²,4x⁴y²,Simplifying Expressions positive exponents,hard,algebra,
916,A line with undefined slope is ___,vertical,Slope,easy,fill_in_one,
917,What is the slope of the line through (0 0) and (3 3)?,1,Slope,medium,multiple_choice,1|0|3|undefined
918,Find the slope of a line that rises 6 units for every 2 units it runs,3,Slope,hard,algebra,
919,Solve by factoring: x² - 4x - 5 = 0,x = 5 or x = -1,Solve Quadratic Equations Using Factoring,hard,fill_in_one,
920,Factor and solve: x² + x - 6 = 0,x = 2 or x = -3,Solve Quadratic Equations Using Factoring,hard,multiple_choice,x = 2 or x = -3|x = 3 or x = -2|x = 6 or x = -1|x = 1 or x = -6
921,Solve: 3x² - 12x = 0,x = 0 or x = 4,Solve Quadratic Equations Using Factoring,hard,algebra,
922,Solve: -4x + 12 ≥ 8,x ≤ 1,Solving Inequalities,medium,fill_in_one,
923,What is the solution to 5 - 2x < 15?,x > -5,Solving Inequalities,hard,multiple_choice,x > -5|x < -5|x > 5|x < 5
924,Solve: 2(x - 3) + 5 ≤ 11,x ≤ 6,Solving Inequalities,hard,algebra,
925,Solve: x + 2y = 10 and 2x - y = 5,(4 3),Solving System of Equation,medium,fill_in_one,
926,What is the solution to: 3x + y = 11 and x - 2y = -4?,(2 5),Solving System of Equation,hard,multiple_choice,(2 5)|(5 2)|(3 2)|(1 8)
927,Solve: 2x - 3y = 7 and 4x + y = 13,x = 2 y = -1,Solving System of Equation,hard,algebra,
928,Find where these lines intersect: y = x + 3 and y = 2x - 1,(4 7),Solving Systems of Linear Equations,medium,fill_in_one,
929,Solve the system: 3x + 2y = 16 and x - y = 2,(4 2),Solving Systems of Linear Equations,hard,multiple_choice,(4 2)|(2 4)|(6 -1)|(0 8)
930,Solve: x + 3y = 9 and 2x - y = 8,x = 3 y = 2,Solving Systems of Linear Equations,hard,algebra,
931,Solve for h: V = πr²h,h = V/(πr²),Solving for a variable,medium,fill_in_one,
932,In P = 2l + 2w solve for l,l = (P - 2w)/2,Solving for a variable,hard,multiple_choice,l = (P - 2w)/2|l = P - 2w|l = (P + 2w)/2|l = P/(2w)
933,Solve for x: ax + b = c,x = (c - b)/a,Solving for a variable,hard,algebra,
934,What is √81?,9,Square Root,easy,fill_in_one,
935,Which equals √144?,12,Square Root,medium,multiple_choice,12|72|288|14
936,Simplify √75,5√3,Square Root,hard,algebra,
937,Calculate √16 + √25,9,Square Roots,easy,fill_in_one,
938,What is √49 - √9?,4,Square Roots,medium,multiple_choice,4|6|2|40
939,Simplify √200 - √50,5√2,Square Roots,hard,algebra,
940,Write 8094 in words,eight thousand ninety-four,Standard and Word Notation,easy,fill_in_one,
941,What is "six thousand five" in standard form?,6005,Standard and Word Notation,medium,multiple_choice,6005|600005|65|605
942,Express 40080 in word form,forty thousand eighty,Standard and Word Notation,hard,algebra,
943,In stem-and-leaf plot 3|4 8 represents what values?,34 and 38,Stem and Leaf Plot,easy,fill_in_one,
944,What stem would 67 use in a stem-and-leaf plot?,6,Stem and Leaf Plot,medium,multiple_choice,6|7|67|60
945,For data 45 52 58 make a stem-and-leaf plot. Which stem appears most?,5,Stem and Leaf Plot,hard,algebra,
946,If y = 4 evaluate 3y - 7,5,Substitution,easy,fill_in_one,
947,When x = -2 and y = 5 what is x² + 2y?,14,Substitution,medium,multiple_choice,14|6|-6|19
948,If a = 3 and b = -1 find 2a² - 3b,21,Substitution,hard,algebra,
949,Calculate 804 - 267,537,Subtraction Whole Numbers,easy,fill_in_one,
950,What is 5000 - 1847?,3153,Subtraction Whole Numbers,medium,multiple_choice,3153|3847|6847|3147
951,If x - 238 = 459 find x,697,Subtraction Whole Numbers,hard,algebra,
952,A cylinder with radius 4 and height 6 has surface area ___,80π,Surface Area Cylinder,hard,fill_in_one,
953,What is the surface area formula for a cylinder?,2πr(r + h),Surface Area Cylinder,hard,multiple_choice,2πr(r + h)|2πr² + 2πrh|πr² + 2πrh|2πrh
954,Find surface area of cylinder: radius 2 height 9,44π,Surface Area Cylinder,hard,algebra,
955,Surface area of a box with dimensions 3×4×5 is ___,94,Surface Area Rectangular Prism,medium,fill_in_one,
956,What is the surface area of a cube with edge 6?,216,Surface Area Rectangular Prism,hard,multiple_choice,216|36|108|1296
957,A rectangular prism 2×3×8 has surface area ___,92,Surface Area Rectangular Prism,hard,algebra,
958,A sphere with radius 5 has surface area ___,100π,Surface Area Sphere,hard,fill_in_one,
959,What is the surface area of a sphere with diameter 8?,64π,Surface Area Sphere,hard,multiple_choice,64π|32π|128π|256π
960,Find surface area of sphere with radius 3,36π,Surface Area Sphere,hard,algebra,
961,Which unit measures surface area?,square units,Surface Area of 3D Objects,medium,fill_in_one,
962,Surface area is the sum of all ___,face areas,Surface Area of 3D Objects,hard,multiple_choice,face areas|edge lengths|volumes|vertices
963,A triangular prism has 2 triangular faces and 3 rectangular faces. If triangle area is 6 and rectangle areas are 15 20 25 find total surface area,72,Surface Area of 3D Objects,hard,algebra,
964,The symbol > means ___,greater than,Symbolization,easy,fill_in_one,
965,Which symbol represents "approximately equal"?,≈,Symbolization,medium,multiple_choice,≈|=|≠|≡
966,Write symbolically: "x is less than or equal to 7",x ≤ 7,Symbolization,hard,algebra,
967,Complete the table for y = x² + 1 with x values -1 0 1,(-1 2) (0 1) (1 2),Table,medium,fill_in_one,
968,For y = 5 - 2x make a table using x = 1 2 3,(1 3) (2 1) (3 -1),Table,hard,multiple_choice,(1 3) (2 1) (3 -1)|(1 7) (2 9) (3 11)|(1 3) (2 6) (3 9)|(1 -3) (2 -9) (3 -15)
969,Create table for y = x³ - 4 with x from 0 to 3,x: 0 1 2 3; y: -4 -3 4 23,Table,hard,algebra,
970,How many terms are in 2x³ - 5x + 8?,3,Terms,easy,fill_in_one,
971,Which has exactly 2 terms?,5x - 3,Terms,medium,multiple_choice,5x - 3|x² + 2x + 1|7|3x² - x + 4
972,Count terms in: x⁴ - 3x³ + x² - 7x + 2,5,Terms,hard,algebra,
973,Name the three rigid transformations,translation rotation reflection,Transformation,medium,fill_in_one,
974,Which transformation preserves size and shape?,All transformations,Transformation,hard,multiple_choice,All transformations|Only translation|Only rotation|Only reflection
975,A transformation that flips a figure is called ___,reflection,Transformation,hard,algebra,
976,Point (2 3) translated by vector ⟨-4 5⟩ becomes ___,(-2 8),Translations,medium,fill_in_one,
977,What is (5 -1) after translation 3 units right and 6 units up?,(8 5),Translations,hard,multiple_choice,(8 5)|(2 5)|(5 5)|(8 -7)
978,Triangle with vertices (1 2) (3 4) (5 1) is translated by ⟨-2 3⟩. Find the new coordinates,(-1 5) (1 7) (3 4),Translations,hard,algebra,
979,An event that cannot happen has probability ___,0,Understanding Concept of Probabilities,easy,fill_in_one,
980,What is the probability of a certain event?,1,Understanding Concept of Probabilities,medium,multiple_choice,1|0|1/2|100%
981,If P(event) = 0.3 what is P(event does not occur)?,0.7,Understanding Concept of Probabilities,hard,algebra,
982,How many inches are in 4 feet?,48,Unit Conversion Standard to Metric,easy,fill_in_one,
983,Convert 2.5 gallons to quarts,10 quarts,Unit Conversion Standard to Metric,medium,multiple_choice,10 quarts|2.5 quarts|5 quarts|40 quarts
984,How many ounces are in 1.5 pounds?,24 ounces,Unit Conversion Standard to Metric,hard,algebra,
985,Convert 250 centimeters to meters,2.5 m,Unit Conversion Within a System,easy,fill_in_one,
986,How many grams are in 1.4 kilograms?,1400 g,Unit Conversion Within a System,medium,multiple_choice,1400 g|140 g|14 g|14000 g
987,Convert 0.75 liters to milliliters,750 mL,Unit Conversion Within a System,hard,algebra,
988,$8 for 4 pounds gives unit rate ___,$2 per pound,Unit Rate,medium,fill_in_one,
989,What is the unit rate for 150 miles in 3 hours?,50 mph,Unit Rate,hard,multiple_choice,50 mph|450 mph|147 mph|153 mph
990,A factory produces 840 items in 12 hours. Find the unit rate,70 items per hour,Unit Rate,hard,algebra,
991,The letter that represents an unknown quantity is called a ___,variable,Variable,easy,fill_in_one,
992,In 4x - 7 which is the variable?,x,Variable,medium,multiple_choice,x|4|7|-7
993,Write an expression: "A number decreased by 8",n - 8,Variable,hard,algebra,
994,The universal set contains ___,all elements being considered,Venn Diagram,easy,fill_in_one,
995,In a Venn diagram what does the region outside both circles represent?,Neither set,Venn Diagram,medium,multiple_choice,Neither set|Both sets|First set only|Second set only
996,Sets A = {2 4 6} and B = {4 6 8}. How many elements are in A ∪ B?,4,Venn Diagram,hard,algebra,
997,Volume of cone with radius 4 and height 9 is ___,48π,Volume Cone,medium,fill_in_one,
998,What is the volume of a cone with diameter 6 and height 8?,24π,Volume Cone,hard,multiple_choice,24π|144π|48π|72π
999,A cone has volume 36π and radius 3. Find its height,12,Volume Cone,hard,algebra,
1000,Find the volume of a rectangular prism with dimensions 7×5×3,105,Volume Rectangular Prism,easy,fill_in_one
